Symbol,Description
MAHLIFE,Mahindra Lifespace Developers Limited
V2RETAIL,V2 Retail Limited
AARTIPHARM,Aarti Pharmalabs Limited
EPL,EPL Limited
JKPAPER,JK Paper Limited
SAPPHIRE,Sapphire Foods India Ltd.
NESCO,NESCO Limited
RHIM,RHI Magnesita India Limited
SKFINDIA,SKF India Limited
NEPHROPLUS,Nephrocare Health Services Limited
SJS,S.J.S. Enterprises Limited
HNDFDS,Hindustan Foods Ltd.
ZEEL,Zee Entertainment Enterprises Limited
SYMBIOTEC,Symbiotec Pharmalab Limited
EMIL,Electronics Mart India Limited
GAEL,Gujarat Ambuja Exports Limited
INDIASHLTR,India Shelter Finance Corp. Ltd.
EUREKAFORB,Eureka Forbes Limited
RELAXO,Relaxo Footwears Limited
KMEW,Knowledge Marine & Engineering Works Limited
SAFARI,Safari Industries (India) Limited
CELLO,Cello World Limited
CYIENTDLM,Cyient DLM Limited
RAYMOND,Raymond Limited
KAMAHOLD,Kama Holdings Limited
GMRP&UI,GMR Power and Urban Infra Ltd
TTKPRESTIG,TTK Prestige Limited
POWERICA,Powerica Limited
TIMEX,Timex Group India Limited
JYOTHYLAB,Jyothy Labs Limited
RAIN,Rain Industries Limited
CERA,Cera Sanitaryware Limited
IXIGO,Le Travenues Technology Limited
SANOFI,Sanofi India Limited
BENGALASM,Bengal & Assam Co. Ltd.
DCBBANK,DCB Bank Limited
MBAPL,Madhya Bharat Agro Products Ltd.
NEWGEN,Newgen Software Technologies Limited
SFL,Sheela Foam Ltd.
CENTUM,Centum Electronics Limited
BLISSGVS,Bliss GVS Pharma Limited
KSHINTL,KSH International Ltd.
ETHOSLTD,Ethos Ltd.
BECTORFOOD,Mrs. Bector's Food Specialities Ltd.
TTML,Tata Teleservices (Maharashtra) Limited
INOXGREEN,Inox Green Energy Services Ltd.
BALAMINES,Balaji Amines Limited
TIIL,Technocraft Industries (India) Limited
KANOHAR,Kanohar Electricals Ltd
INNOVACAP,Innova Captab Limited
DBL,Dilip Buildcon Ltd.
AEROFLEX,Aeroflex Industries Ltd.
OMNI,Omnitech Engineering Limited
RBA,Restaurant Brands Asia Limited
GMMPFAUDLR,GMM Pfaudler Limited
BAJAJCON,Bajaj Consumer Care Limited
KOVAI,Kovai Medical Center & Hospital Ltd.
SHARDACROP,Sharda Cropchem Ltd.
MOREPENLAB,Morepen Laboratories Limited
BORORENEW,Borosil Renewables Limited
IMFA,Indian Metals & Ferro Alloys Ltd.
CEIGALL,Ceigall India Limited
SUPRAJIT,Suprajit Engineering Limited
SBCL,Shivalik Bimetal Controls Ltd
TANLA,Tanla Platforms Ltd
GOKULAGRO,Gokul Agro Resources Ltd.
IBULLSLTD,Indiabulls Limited
FCL,Fineotex Chemical Limited
TFCILTD,Tourism Finance Corporation of India Limited
NEOGEN,Neogen Chemicals Ltd.
CAMPUS,Campus Activewear Ltd.
MANINDS,Man Industries (India) Limited
AJAXENGG,Ajax Engineering Ltd.
REDTAPE,Redtape Limited
KISSHT,Onemi Technology Solutions Limited
LEAPIND,LEAP India Limited
VMART,V-Mart Retail Ltd
JKLAKSHMI,JK Lakshmi Cement Limited
DODLA,Dodla Dairy Ltd.
SENORES,Senores Pharmaceuticals Ltd.
KUSUMGAR,Kusumgar Ltd.
SPARC,Sun Pharma Advanced Research Co. Ltd.
SUNFLAG,Sunflag Iron & Steel Co. Ltd.
KPIGREEN,KPI Green Energy Limited
BIRLACORPN,Birla Corporation Limited
IONEXCHANG,Ion Exchange (India) Ltd.
SKIPPER,Skipper Ltd
JSLL,Jeena Sikho Lifecare Limited
ISGEC,ISGEC Heavy Engineering Ltd.
GANESHHOU,Ganesh Housing Limited
SMARTWORKS,Smartworks Coworking Spaces Limited
TCI,Transport Corporation of India Limited
SHREMINVIT,Shrem Infra Invest Private Limited
BALUFORGE,Balu Forge Industries Ltd
ABFRL,Aditya Birla Fashion and Retail Ltd
GSFC,Gujarat State Fertilizers & Chemicals Limited
RCF,Rashtriya Chemicals & Fertilizers Ltd.
IOLCP,IOL Chemicals & Pharmaceuticals Ltd.
SIS,SIS Limited
VIKRAMSOLR,Vikram Solar Limited
FDC,FDC Ltd.
LCL,Lohia Corp Limited
PRSMJOHNSN,Prism Johnson Limited
TVSSCS,TVS Supply Chain Solutions Ltd.
GREENLAM,Greenlam Industries Ltd
PICCADIL,Piccadily Agro Industries Limited
JUSTDIAL,Just Dial Ltd.
SHAKTIPUMP,Shakti Pumps (India) Limited
CSBBANK,CSB Bank Ltd.
JAIBALAJI,Jai Balaji Industries Limited
ACI,Archean Chemical Industries Ltd.
PRAJIND,PRAJ Industries Limited
MARINE,Marine Electricals (India) Limited
HCC,Hindustan Construction Co. Ltd.
ARVINDFASN,Arvind Fashions Ltd.
SSWL,Steel Strips Wheels Ltd
STYL,Seshaasai Technologies Limited
FEDFINA,Fedbank Financial Services Ltd.
RENTOMOJO,Rentomojo Limited
JSFB,Jana Small Finance Bank Ltd
SENCO,Senco Gold Limited
ITDC,India Tourism Development Corp. Ltd.
TRANSRAILL,Transrail Lighting Limited
KALPATARU,Kalpataru Ltd.
CCAVENUE,AvenuesAI Ltd
KRISHANA,Krishana Phoschem Ltd.
LGBBROSLTD,L.G. Balakrishnan & Bros Ltd.
SHARDAMOTR,Sharda Motor Industries Ltd.
EMUDHRA,eMudhra Limited
ORCHPHARMA,Orchid Pharma Limited
SAATVIKGL,Saatvik Green Energy Ltd.
QUESS,Quess Corp. Ltd.
INDIGOPNTS,Indigo Paints Ltd
LUMAXIND,Lumax Industries Limited
STYLAMIND,Stylam Industries Limited
GUJTHEM,Gujarat Themis Biosyn Ltd
RPTECH,Rashi Peripherals Limited
NIRLON,Nirlon Limited
ARTEMISMED,Artemis Medicare Services Ltd.
VADILALIND,Vadilal Industries Limited
WHEELS,Wheels India Limited
AGI,AGI Greenpac Limited
MASFIN,MAS Financial Services Ltd.
SHANTIGEAR,Shanthi Gears Limited
ELLEN,Ellenbarrie Industrial Gases Limited
OPTIEMUS,Optiemus Infracom Limited
TRIVENI,Triveni Engineering and Industries Limited
GULFOILLUB,Gulf Oil Lubricants India Ltd
GOODLUCK,Goodluck India Ltd.
LATENTVIEW,Latent View Analytics Limited
DBREALTY,Valor Estate Ltd
JAMNAAUTO,Jamna Auto Industries Limited
NORTHARC,Northern Arc Capital Ltd.
UNIVCABLES,Universal Cables Limited
MSTCLTD,MSTC Ltd.
DEEDEV,DEE Development Engineers Limited
RAMRAT,Ram Ratna Wires Limited
ROSSTECH,Rossell Techsys Limited
VRLLOG,VRL Logistics Ltd.
PURVA,Puravankara Limited
NRBBEARING,NRB Bearings Ltd.
ASHAPURMIN,Ashapura Minechem Ltd
GOKEX,Gokaldas Exports Limited
SPECTRUM,Spectrum Electrical Industries Limited
CMRGREEN,CMR Green Technologies Limited
PDSL,PDS Limited
WSTCSTPAPR,West Coast Paper Mills Limited
FIEMIND,Fiem Industries Limited
FOSECOIND,Foseco India Limited
JINDWORLD,Jindal Worldwide Limited
MANINFRA,Man Infraconstruction Limited
SHAREINDIA,Share India Securities Ltd
JUNIPER,Juniper Hotels Limited
SOTL,Savita Oil Technologies Limited
BANSALWIRE,Bansal Wire Industries Limited
IFBIND,IFB Industries Ltd
NOVARTIND,Novartis India Limited
THOMASCOOK,Thomas Cook (India) Limited
LXCHEM,Laxmi Organic Industries Ltd.
MAPMYINDIA,C.E. Info Systems Ltd.
MASTEK,Mastek Limited
KDDL,KDDL Limited
MOIL,Moil Limited
CARERATING,CARE Ratings Ltd
RENUKA,Shree Renuka Sugars Limited
GOLDIAM,Goldiam International Limited
WAKEFIT,Wakefit Innovations Limited
HAPPSTMNDS,Happiest Minds Technologies Ltd.
VISHNU,Vishnu Chemicals Limited
BAJAJHIND,Bajaj Hindusthan Sugar Limited
EPIGRAL,Epigral Ltd
HEGAM,HEG Advanced Materials Ltd
YASHO,Yasho Industries Ltd.
UFLEX,UFlex Limited
VMARCIND,V-Marc India Limited
TEXRAIL,Texmaco Rail & Engineering Limited
SUBROS,Subros Limited
DEEPINDS,Deep Industries Limited
GVPIL,GE Power India Ltd.
AYE,Aye Finance Limited
PTC,PTC India Limited
GUJALKALI,Gujarat Alkalies & Chemicals Ltd.
GREAVESCOT,Greaves Cotton Limited
VENUSPIPES,Venus Pipes & Tubes Ltd.
CRAMC,Canara Robeco Asset Management Co. Ltd.
SURYAROSNI,Surya Roshni Limited
BOSCH_HCIL,Bosch Home Comfort India Ltd
DATAMATICS,Datamatics Global Services Limited
RPGLIFE,RPG Life Sciences Limited
SAMBHV,Sambhv Steel Tubes Limited
SHILCTECH,Shilchar Technologies Limited
ELECTCAST,Electrosteel Castings Ltd.
ROLEXRINGS,Rolex Rings Limited
FILATEX,Filatex India Ltd
RUSTOMJEE,Keystone Realtors Ltd.
MPSLTD,MPS Limited
PILANIINVS,Pilani Investment And Industries Corporation Limited
TEMPSENS,Tempsens Instruments (India) Limited
HIRECT,Hirect Limited
ANZEN,Anzen India Energy Yield Plus Trust Units
ARCIL,Asset Reconstruction Company (India) Limited
ICRA,ICRA Limited
GUFICBIO,Gufic Biosciences Limited
SMSPHARMA,SMS Pharmaceuticals Limited
DECNGOLD,Deccan Gold Mines Limited
WPIL,WPIL Limited
SHOPERSTOP,Shoppers Stop Limited
DHANUKA,Dhanuka Agritech Limited
SWARAJENG,Swaraj Engines Ltd
HAWKINCOOK,Hawkins Cookers Limited
SEAMECLTD,SEAMEC Limited
PITTIENG,Pitti Engineering Ltd.
PERNIASPOP,Purple Style Labs Limited
RESPONIND,Responsive Industries Limited
SUNTECK,Sunteck Realty Limited
HARSHA,Harsha Engineers International Ltd.
TBZ,Tribhovandas Bhimji Zaveri Limited
VIPIND,V.I.P.INDUSTRIES LTD.
BANARISUG,Bannari Amman Sugars Limited
NETWORK18,Network18 Media & Investments Limited
TATVA,Tatva Chintan Pharma Chem Limited
KSL,Kalyani Steels Ltd
LCCPROJECT,LCC Projects Limited
63MOONS,63 Moons Technologies Ltd.
SGFIN,SG Finserve Limited
SYMPHONY,Symphony Limited
ASHIANA,Ashiana Housing Limited
CAPILLARY,Capillary Technologies India Ltd.
SANATHAN,Sanathan Textiles Limited
MHRIL,Mahindra Holidays & Resorts India Limited
SWSOLAR,Sterling And Wilson Renewable Energy Limited
REFEX,Refex Industries Limited
MOSCHIP,Moschip Technologies Ltd
SEITINVIT,Sustainable Energy Infra Trust
PRASOLCHEM,Prasol Chemicals Limited
INDIQUBE,Indiqube Spaces Limited
COCKERILL,John Cockerill India Limited
RAYMONDREL,Raymond Realty Limited
KPL,Kwality Pharmaceuticals Ltd
AARTIDRUGS,Aarti Drugs Limited
VSSL,Vardhman Special Steels Limited
MAHLOG,Mahindra Logistics Ltd.
RAYMONDLSL,Raymond Lifestyle Limited
RALLIS,Rallis India Limited
HERITGFOOD,Heritage Foods Limited
KIRLOSIND,Kirloskar Industries Limited
ZOTA,Zota Health Care Ltd.
GHCL,GHCL Limited
ANTELOPUS,Antelopus Selan Energy Ltd
LASERPOWER,Laser Power & Infra Limited
AHLUCONT,Ahluwalia Contracts (India) Limited
UNIPARTS,Uniparts India Ltd.
TURTLEMINT,Turtlemint Fintech Solutions Limited
GRAUWEIL,Grauer & Weil India Ltd.
AVANTEL,Avantel Limited
TARC,TARC Limited
RTNPOWER,RattanIndia Power Limited
IDEAFORGE,Ideaforge Technology Limited
UNICHEMLAB,Unichem Laboratories Limited
AURIONPRO,Aurionpro Solutions Limited
INDOSTAR,IndoStar Capital Finance Limited
CAPINVIT,Capital Infra Trust
SANGHVIMOV,Sanghvi Movers Limited
KOLTEPATIL,Kolte-Patil Developers Limited
BAJAJELEC,Bajaj Electricals Limited
RTNINDIA,RattanIndia Enterprises Limited
NPST,Network People Services Technologies Limited
AIMTRON,Aimtron Electronics Limited
CMSINFO,CMS Info Systems Ltd.
VSTTILLERS,VST Tillers Tractors Limited
SINDHUTRAD,Sindhu Trade Links Ltd.
RML,Rane (Madras) Limited
WELSPLSOL,Welspun Specialty Solutions Limited
STYRENIX,Styrenix Performance Materials Ltd
KSCL,Kaveri Seed Co. Ltd.
SOLARA,Solara Active Pharma Sciences Ltd.
JASH,Jash Engineering Ltd.
JKIL,J. Kumar Infraprojects Limited
PREMEXPLN,Premier Explosives Limited
GREENPLY,Greenply Industries Ltd
POCL,Pondy Oxides & Chemicals Ltd.
PNCINFRA,PNC Infratech Ltd
MIDWESTLTD,Midwest Limited
ORIENTELEC,Orient Electric Ltd.
EIEL,Enviro Infra Engineers Limited
LUXIND,Lux Industries Ltd.
TRUALT,Trualt Bioenergy Limited
SAMHI,Samhi Hotels Limited
SANDHAR,Sandhar Technologies Ltd.
TCPLPACK,TCPL Packaging Limited
ALOKINDS,Alok Industries Limited
TVSSRICHAK,TVS Srichakra Limited
INDOTECH,Indo Tech Transformers Ltd.
VSTIND,VST Industries Limited
KIRIINDUS,Kiri Industries Limited
JTLIND,JTL Industries Limited
VAIBHAVGBL,Vaibhav Global Ltd.
POLYPLEX,Polyplex Corporation Limited
LUMINO,Lumino Industries Limited
DIVGIITTS,Divgi TorqTransfer Systems Ltd.
NITINSPIN,Nitin Spinners Limited
KNRCON,KNR Constructions Limited
HEMIPROP,Hemisphere Properties India Ltd.
PARAGMILK,Parag Milk Foods Ltd.
ASHIKAG,Ashika Global Securities Ltd
AGIIL,Agi Infra Ltd.
VINDHYATEL,Vindhya Telelinks Limited
NACLIND,NACL Industries Ltd
PRABHA,Prabha Energy Limited
INDRAMEDCO,Indraprastha Medical Corporation Limited
PACEDIGITK,Pace Digitek Limited
INDSWFTLAB,Ind-Swift Laboratories Ltd.
ADVENZYMES,Advanced Enzyme Technologies Ltd
NFL,National Fertilizers Ltd.
ANUP,Anup Engineering Ltd.
PSPPROJECT,PSP Projects Ltd
MAYURUNIQ,Mayur Uniquoters Limited
DBCORP,DB Corp. Ltd.
HLEGLAS,HLE Glascoat Ltd
WONDERLA,Wonderla Holidays Ltd.
DPABHUSHAN,D. P. Abhushan Ltd.
JINDALPOLY,Jindal Poly Films Limited
NOCIL,NOCIL Limited
HEIDELBERG,Heidelbergcement India Limited.
MUTHOOTMF,Muthoot Microfin Ltd
JTEKTINDIA,JTEKT India Limited
GOPAL,Gopal Snacks Limited
STEELCAS,Steelcast Ltd.
JUBLCPL,Jubilant Agri and Consumer Products Limited
BEPL,Bhansali Engineering Polymers Ltd.
BHAGCHEM,Bhagiradha Chemicals & Industries Ltd.
ASHOKA,Ashoka Buildcon Limited
APCOTEXIND,Apcotex Industries Ltd
OSWALPUMPS,Oswal Pumps Limited
ARSSBL,Anand Rathi Share and Stock Brokers Limited
WEBELSOLAR,Websol Energy System Limited
BOROLTD,Borosil Ltd
CMLL,Caliber Mining and Logistics Limited
DALMIASUG,Dalmia Bharat Sugar & Industries Ltd.
BUILDPRO,Shankara Buildpro Limited
CRIZAC,Crizac Limited
WINDMACHIN,Windsor Machines Limited
CARYSIL,Carysil Limited
STYLEBAAZA,Baazar Style Retail Limited
IMAGICAA,Imagicaaworld Entertainment Ltd.
CARRARO,Carraro India Ltd.
KERNEX,Kernex Microsystems India Ltd.
KKCL,Kewal Kiran Clothing Limited
FUSION,Fusion Finance Ltd
NIITMTS,NIIT Learning Systems Ltd
MMFL,MM Forgings Limited
SEIL,Shanti Educational Initiatives Ltd.
CONFIPET,Confidence Petroleum India Limited
ROUTE,"Route Mobile, Ltd."
ADFFOODS,ADF Foods Limited
PRINCEPIPE,Prince Pipes And Fittings Ltd
GIPCL,Gujarat Industries Power Co. Ltd.
SANGAMIND,Sangam (India) Limited
STEAMHOUSE,Steamhouse India Limited
ELPROINTL,Elpro International Ltd
MAITHANALL,Maithan Alloys Ltd.
RISHABH,Rishabh Instruments Limited
HGINFRA,H.G. Infra Engineering Ltd.
TALBROAUTO,Talbros Automotive Components Limited
BLSE,BLS E-Services Limited
RSYSTEMS,R Systems International Limited
INTERARCH,Interarch Building Solutions Ltd
PANAMAPET,Panama Petrochem Limited
RELTD,Ravindra Energy Ltd.
CHEMPLASTS,Chemplast Sanmar Limited
MONARCH,Monarch Networth Capital Limited
BALMLAWRIE,Balmer Lawrie & Co. Ltd.
JAYKAY,Jaykay Enterprises Limited
RAMCOIND,Ramco Industries Limited
HIKAL,Hikal Limited
NSIL,Nalwa Sons Investments Limited
NAVNETEDUL,Navneet Education Limited
MARATHON,Marathon Nextgen Realty Limited
NILKAMAL,Nilkamal Limited
INDNIPPON,India Nippon Electricals Limited
XPROINDIA,XPRO India Limited
RPSGVENT,RPSG Ventures Limited
UFBL,United Foodbrands Limited
DREDGECORP,Dredging Corporation of India Limited
INDORAMA,Indo Rama Synthetics (India) Limited
MANGLMCEM,Mangalam Cement Ltd
SUNCLAY,Sundaram-Clayton Limited
ORIANA,Oriana Power Limited
VIMTALABS,Vimta Labs Limited
DOLPHIN,Dolphin Offshore Enterprises India Ltd.
ADOR,Ador Welding Limited
MONOLITH,Monolithisch India Limited
STOVEKRAFT,Stove Kraft Ltd.
GANECOS,Ganesha Ecosphere Limited
DDEVPLSTIK,Ddev Plastiks Industries Limited
STALLION,Stallion India Fluorochemicals Limited
RATNAVEER,Ratnaveer Precision Engineering Limited
DCAL,Dishman Carbogen Amcis Ltd.
SUNDROP,Sundrop Brands Limited Shs Dematerialised
ALEMBICLTD,Alembic Limited
DIAMONDYD,Prataap Snacks Ltd.
UEL,Ujaas Energy Limited
EFCIL,EFC (I) Ltd.
TECHNVISN,TechNVision Ventures Ltd.
GATEWAY,Gateway Distriparks Limited
SPORTKING,Sportking India Ltd.
ARVSMART,Arvind SmartSpaces Ltd.
MUFIN,Mufin Green Finance Limited
KMCSHIL,KMC Speciality Hospitals (India) Limited
GANDHAR,Gandhar Oil Refinery (India) Limited
GLOBUSSPR,Globus Spirits Limited
GLASSWALL,Glass Wall Systems (India) Limited
SASKEN,Sasken Technologies Ltd
VINCOFE,Vintage Coffee and Beverages Limited
KLBRENG_B,Kilburn Engineering Ltd
ORIENTHOT,Oriental Hotels Limited
GKENERGY,GK Energy Limited
ORIENTCEM,Orient Cement Ltd.
DRAGARWQ,Dr. Agarwal'S Eye Hospital Limited
SAKAR,Sakar Healthcare Ltd
AUTOAXLES,Automotive Axles Limited
FLAIR,Flair Writing Industries Limited
MEDIASSIST,Medi Assist Healthcare Services Limited
TASTYBITE,Tasty Bite Eatables Ltd
UTKARSHBNK,Utkarsh Small Finance Bank Limited
HUBTOWN,Hubtown Limited
BODALCHEM,Bodal Chemicals Limited
BBL,Bharat Bijlee Limited
ROSSARI,Rossari Biotech Ltd
FMGOETZE,Federal-Mogul Goetze (India) Limited
SPAL,S.P. Apparels Ltd.
PATELENG,Patel Engineering Limited
EPACKPEB,Epack Prefab Technologies Limited
SATIN,Satin Creditcare Network Ltd
SHUKRAPHAR,Shukra Pharmaceuticals Ltd.
JGCHEM,JG Chemicals Limited
SOMANYCERA,Somany Ceramics Limited
ZAGGLE,Zaggle Prepaid Ocean Services Limited
GNA,GNA Axles Ltd
MVELECTRO,Mv Electrosystems Limited
SIYSIL,Siyaram Silk Mills Limited
PROTEAN,Protean eGov Technologies Limited
APOLLOPIPE,Apollo Pipes Ltd.
INDOCO,Indoco Remedies Limited
VEEDOL,Veedol Corp. Ltd
KABRAEXTRU,Kabra ExtrusionTechnik Ltd.
PIXTRANS,PIX Transmissions Ltd
ASIANENE,Asian Energy Services Limited
SBC,SBC Exports Ltd.
TIL,TIL Ltd.
EVEREADY,Eveready Industries India Ltd
HINDOILEXP,"Hindustan Oil Exploration Co., Ltd."
WINDLAS,Windlas Biotech Ltd.
THEJO,Thejo Engineering Ltd.
AJMERA,Ajmera Realty & Infra India Ltd
VENKEYS,Venky's (India) Limited
KITEX,Kitex Garments Limited
OBSCP,OBSC Perfection Ltd.
EASEMYTRIP,Easy Trip Planners Ltd.
ANANTAM,Anantam Highways Trust
PENIND,Pennar Industries Limited
RAJRATAN,Rajratan Global Wire Limited
PANACEABIO,Panacea Biotec Limited
SIKA,Sika Interplant Systems Limited
BETA,Beta Drugs Ltd.
SIRCA,Sirca Paints India Ltd.
ORISSAMINE,Orissa Minerals Development Company Limited
GEOJITFSL,Geojit Financial Services Ltd
ARKADE,Arkade Developers Limited
EUROPRATIK,Euro Pratik Sales Limited
GAJA,Gaja Alternative Asset Management Limited
JNKINDIA,Jnk India Limited
COSMOFIRST,Cosmo First Limited
BOMDYEING,Bombay Dyeing & Manufacturing Co. Ltd.
POKARNA,Pokarna Limited
GSPCROP,GSP Crop Science Limited
REPCOHOME,Repco Home Finance Ltd.
SAIPARENT,Sai Parenterals Limited
PARKHOTELS,Apeejay Surrendra Park Hotels Ltd.
EXICOM,Exicom Tele-Systems Ltd.
JISLJALEQS,Jain Irrigation Systems Limited
JISLDVREQS,Jain Irrigation Systems Limited
GOCLCORP,GOCL Corporation Limited
ALPEXSOLAR,Alpex Solar Ltd.
NELCO,Nelco Limited
SANSTAR,Sanstar Limited
RANEHOLDIN,Rane Holdings Limited
KNACK,Knack Packaging Limited
FREDUN,Fredun Pharmaceuticals Ltd.
DYCL,Dynamic Cables Ltd.
VERANDA,Veranda Learning Solutions Ltd.
STLNETWORK,STL Networks Limited
RAMKY,Ramky Infrastructure Limited
MARSONS,Marsons Limited
ADVAIT,Advait Energy Transitions Ltd
GMBREW,G.M. Breweries Ltd.
FISCHER,Fischer Medical Ventures Ltd
ELCIDIN,Elcid Investments Ltd.
NITCO,Nitco Limited
KICL,Kalyani Investment Co. Ltd.
MOLDTKPAC,Mold Tek Packaging Ltd
QUADFUTURE,Quadrant Future Tek Limited
PRAKASH,Prakash Industries Limited
BRIGHOTEL,Brigade Hotel Ventures Limited
VENUSREM,Venus Remedies Limited
RAMCOSYS,Ramco Systems Limited
NIBE,Nibe Ltd.
RAJESHEXPO,Rajesh Exports Limited
OMAXE,Omaxe Limited
AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited
LANDMARK,Landmark Cars Ltd.
TAJGVK,TAJGVK Hotels & Resorts Ltd.
ARMANFIN,Arman Financial Services Limited
ALGOQUANT,Algoquant Fintech Limited
KCP,KCP Ltd
MOTISONS,Motisons Jewellers Ltd
SILVERTUC,Silver Touch Technologies Ltd.
ESAFSFB,ESAF Small Finance Bank Limited
SPANDANA,Spandana Sphoorty Financial Limited
RACLGEAR,RACL Geartech Ltd
GREENPANEL,Greenpanel Industries Ltd
EMSLIMITED,EMS Ltd.
CANTABIL,Cantabil Retail India Limited
INA,Insolation Energy Ltd.
SHRINGARMS,Shringar House Of Mangalsutra Limited
BNAGROCHEM,BN Agrochem Ltd
PARACABLES,Paramount Communications Limited
BFUTILITIE,BF Utilities Ltd.
RELINFRA,Reliance Infrastructure Limited
SAGCEM,Sagar Cements Ltd
SHANTIGOLD,Shanti Gold International Limited
BAJEL,Bajel Projects Limited
SIMPLEXINF,Simplex Infrastructures Limited
ANONDITA,Anondita Medicare Limited
MACPOWER,Macpower CNC Machines Limited
BCG,Brightcom Group Limited
HONDAPOWER,Honda India Power Products Limited
MUKANDLTD,Mukand Limited
SAKSOFT,Saksoft Limited
AWFIS,Awfis Space Solutions Limited
KODYTECH,Kody Technolab Limited
BGRENERGY,BGR Energy Systems Limited
INDIANHUME,Indian Hume Pipe Co. Ltd.
MAHASTEEL,Mahamaya Steel Industries Ltd.
CAMLINFINE,Camlin Fine Sciences Limited
DANISH,Danish Power Ltd.
VINYAS,Vinyas Innovative Technologies Limited
TIRUMALCHM,Thirumalai Chemicals Limited
SHK,S H Kelkar and Company Ltd
MSPL,MSP Steel & Power Limited
BLEL,Behari Lal Engineering Limited
GENESYS,Genesys International Corporation Limited
TEAMLEASE,TeamLease Services Limited
SYNCOMF,Syncom Formulation (India) Ltd.
HESTERBIO,Hester Biosciences Limited
TCIEXP,TCI Express Ltd.
TINNARUBR,Tinna Rubber & Infrastructure Limited
BHARATRAS,Bharat Rasayan Limited
OAL,Oriental Aromatics Ltd.
HUHTAMAKI,Huhtamaki India Limited
SKYWAYS,Skyways Air Services Limited
BLUSPRING,Bluspring Enterprises Ltd
HPL,HPL Electric & Power Limited
SURAKSHA,Suraksha Diagnostic Ltd.
EIHAHOTELS,EIH Associated Hotels Limited
VIDYAWIRES,Vidya Wires Limited
TARSONS,Tarsons Products Limited
DCXINDIA,DCX Systems Limited
KRSNAA,Krsnaa Diagnostics Limited
NUCLEUS,Nucleus Software Exports Limited
LAOPALA,La Opala RG Ltd.
XTRANET,Xtranet Technologies Limited
SCILAL,Shipping Corporation of India Land and Assets Limited
IGPL,IG Petrochemicals Ltd.
HATHWAY,Hathway Cable & Datacom Ltd.
BLUECLOUDS,Blue Cloud Softech Solutions Ltd.
DEEPA,Deepa Jewellers Limited
KAPSTON,Kapston Services Limited
HGS,Hinduja Global Solutions Limited
NDRAUTO,NDR Auto Components Ltd.
VIDHIING,Vidhi Specialty Food Ingredients Ltd
INSECTICID,Insecticides (India) Limited
PAUSHAKLTD,Paushak Limited
RICOAUTO,Rico Auto Industries Limited
RGL,Renaissance Global Limited
TECHNOCRAF,Technocraft Ventures Limited
EPACK,Epack Durable Limited
WENDT,WENDT India Limited
DISAQ,DISA India Limited
INDOKEM,Indokem Limited
MENONBE,Menon Bearings Limited
INDIAGLYCO,India Glycols Limited
PFS,PTC India Financial Services Limited
CNL,Creative Newtech Limited
GRMOVER,GRM Overseas Ltd.
GRANDOAK,Grand Oak Canyons Distillery Ltd
SMCGLOBAL,SMC Global Securities Ltd. (India)
STUDDS,Studds Accessories Limited
AYMSYNTEX,AYM Syntex Limited
NGLFINE,NGL Fine-Chem Ltd.
AURUM,Aurum Proptech Limited
BFINVEST,BF Investment Limited
ACCELYA,Accelya Solutions India Ltd.
JINDRILL,Jindal Drilling & Industries Ltd.
JAICORPLTD,Jai Corp Limited
DIFFNKG,Diffusion Engineers Limited
KROSS,Kross Limited
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Ltd.
RSL,Rajputana Stainless Limited
CAPACITE,Capacit'e Infraprojects Ltd.
DELTACORP,Delta Corp. Ltd. (India)
MOBIKWIK,One Mobikwik Systems Limited
ALLCARGO,Allcargo Logistics Limited
GARUDA,Garuda Construction and Engineering Limited
ACCENTMIC,Accent Microcell Limited
GOODYEAR,Goodyear India Limited
IKIO,IKIO Technologies Ltd
VIVIDEL,Vivid Electromech Ltd.
VHLTD,Viceroy Hotels Ltd
QLINE,Q-Line Biotech Limited
YATRA,Yatra Online Limited
PVP,PVP Ventures Limited
PNGSREVA,PNGS Reva Diamond Jewellery Limited
SERVOTECH,Servotech Renewable Power System Ltd
GOCOLORS,Go Fashion (India) Limited
VOEPL,Virtuoso Optoelectronics Limited
ASTEC,Astec Lifesciences Limited
MOL,Meghmani Organics Limited
ONEPOINT,One Point One Solutions Ltd.
KPEL,K.P. Energy Ltd.
BHAGERIA,Bhageria Industries Ltd.
NITTAGELA,Nitta Gelatin India Limited
KOTIC,Kothari Industrial Corp. Ltd.
SURYODAY,Suryoday Small Finance Bank Limited
SESHAPAPER,Seshasayee Paper & Boards Ltd.
DOLLAR,Dollar Industries Ltd.
UTSSAV,Utssav CZ Gold Jewels Limited
IPL,India Pesticides Ltd.
ASIANHOTNR,Asian Hotels (North) Limited
KRISHNADEF,Krishna Defence and Allied Industries Limited
RIR,RIR Power Electronics Limited
RUBYMILLS,Ruby Mills Limited
ARFIN,Arfin India Ltd
GCSL,Gretex Corporate Services Ltd
ARDEE,Ardee Industries Limited
SUMMITSEC,Summit Securities Limited
MIIL,Meghna Infracon Infrastructure Limited
ASIANTILES,Asian Granito India Limited
HITECH,Hi-Tech Pipes Ltd.
YUKEN,Yuken India Limited
TTKHLTCARE,TTK Healthcare Limited
DLINKINDIA,D-Link (India) Ltd.
